S.NO,TYPE,DATE,ACCOUNT,DESCRIPTION,DEBIT,CREDIT
"[-1119.53, 0.0]"
39017,T,03-08-2016,0655C - PITCHANDIKULAM QSA /JOSS/ELVIRA/ANITA,TEA CONTRIBUTION,"",3000.00
5395,MT,03-08-2016,0373K - PT PURCHASING SERVICE,MT 03/08/16 - BN:587 - 2016-08-3,-2463.43,""
40451,T,06-08-2016,251048C - AUROVILLE YOUTH/KAVITHA KOWSALYA,NIKETHANA LUNCH STIPEND JULY - YOUTHLINK,"",1570.00
40450,T,06-08-2016,251048C - AUROVILLE YOUTH/KAVITHA KOWSALYA,RAMANAN LUNCH STIPEND JULY - YOUTHLINK,"",1570.00
14165,R,10-08-2016,"",DANIELA SNEH JULY.16 LUNCH,"",3150.00
5783,MT,11-08-2016,0373K - PT PURCHASING SERVICE,MT 11/08/16 - BN:2386 - 2016-08-11,-1082.52,""
6037,MT,17-08-2016,240016K - LE GOURMET DN [BAKERY,MT 17/08/16 - BN: 3147 - 2016-08-17,-598.50,""
6033,MT,17-08-2016,0373K - PT PURCHASING SERVICE,MT 17/08/16 - BN:3535 - 2016-08-17,-1275.76,""
6327,MT,24-08-2016,0373K - PT PURCHASING SERVICE,MT 24/08/16 - BN:5025 - 2016-08-24,-1115.57,""
6512,MT,29-08-2016,0373K - PT PURCHASING SERVICE,MT 29/08/16 - BN:6050 - 2016-08-29,-1429.79,""
"[-7965.57, 9290.0]"
"[0.0, 204.9]"
