S.NO,TYPE,DATE,ACCOUNT,DESCRIPTION,DEBIT,CREDIT
"[0.0, 204.9]"
6898,MT,06-09-2016,0373K - PT PURCHASING SERVICE,MT 06/09/16 - BN:1048 - 2016-09-6,-1043.93,""
51980,T,06-09-2016,251630C - WHITE ANT STUDIO/FABIAN,FABIAN/ELVIRA AUGUST 2016,"",1500.00
17565,R,08-09-2016,"",SNEH LUNCH AUG.16,"",1350.00
17566,R,08-09-2016,"",DANIELA JON LUNCH AUG.16,"",3225.00
7134,MT,10-09-2016,0373K - PT PURCHASING SERVICE,MT 10/09/16 - BN:2087 - 2016-09-10,-512.11,""
7261,MT,13-09-2016,0373K - PT PURCHASING SERVICE,MT 13/09/16 - BN:2691 - 2016-09-13,-2041.13,""
7259,MT,13-09-2016,240016K - LE GOURMET DN [BAKERY,MT 13/09/16 - BN: 2552 - 2016-09-13,-108.15,""
7316,MT,14-09-2016,0373K - PT PURCHASING SERVICE,MT 14/09/16 - BN:2908 - 2016-09-14,-719.14,""
7514,MT,19-09-2016,0373K - PT PURCHASING SERVICE,MT 19/09/16 - BN:3869 - 2016-09-19,-1115.68,""
7609,MT,21-09-2016,0373K - PT PURCHASING SERVICE,MT 21/09/16 - BN:4358 - 2016-09-21,-1663.64,""
7879,MT,27-09-2016,0373K - PT PURCHASING SERVICE,MT 27/09/16 - BN:5647 - 2016-09-27,-779.98,""
58965,T,29-09-2016,105199K - PITCHANDIKULAM ACTIVITIES/ELVIRA/JOSS/AN,TEA CONT FOR AUGUST 16,"",2500.00
59509,T,30-09-2016,0373K - PT PURCHASING SERVICE,BN:6365 - 2016-09-30,"",62.75
8029,MT,30-09-2016,0373K - PT PURCHASING SERVICE,MT 30/09/16 - BN:6364 - 2016-09-30,-191.10,""
30735,P,30-09-2016,"",REVERSE 30733 SEPTEMBER2016,"",900.00
30733,P,30-09-2016,"",Reversed ANIS- SEP16 LUNCH,-900.00,""
20002,R,30-09-2016,"",ANIS - SEP 16 LUNCH,"",900.00
"[-9074.86, 10437.75]"
"[0.0, 1567.79]"
